analysis_id,analysis_desc,rmax_mpc_h,mu_percent,sigma_percent,reference,notes
A.0,Random positions in space,67,0.1,4.6,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Full sky; Planck-like parameters; 240 halos per observer; rmin=30 Mpc/h"
A.0,Random positions in space,150,0.0,0.9,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.0,Random positions in space,256,0.0,0.3,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
A.1,Random positions in halos,67,0.1,4.7,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Full sky; observers randomly in halos"
A.1,Random positions in halos,150,-0.1,0.9,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.1,Random positions in halos,256,0.0,0.3,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
A.2,Local Group-like halos,67,-2.0,4.5,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Full sky; observers selected as Local-Group-like halos"
A.2,Local Group-like halos,150,-0.3,0.9,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.2,Local Group-like halos,256,0.0,0.2,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
A.3,One cone (10% sky coverage),67,-2.6,4.8,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"One-cone partial sky; Local-Group-like observers"
A.3,One cone (10% sky coverage),150,-0.2,1.2,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.3,One cone (10% sky coverage),256,-0.0,0.4,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
A.4,Two cones (10% sky coverage),67,-2.6,4.2,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Two opposite cones; Local-Group-like observers"
A.4,Two cones (10% sky coverage),150,-0.3,1.1,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.4,Two cones (10% sky coverage),256,-0.0,0.4,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
A.5,Lightcone (cosmic evolution),67,-2.5,4.4,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Past-lightcone analysis; Local-Group-like observers"
A.5,Lightcone (cosmic evolution),150,-0.3,0.9,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
A.5,Lightcone (cosmic evolution),256,0.0,0.2,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
B,Different seed,67,-1.7,4.6,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same as standard analysis but different random seed"
B,Different seed,150,-0.2,0.9,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
B,Different seed,256,0.0,0.4,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
C,Box=512 Nsim=1024,67,-2.1,4.6,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Resolution test"
C,Box=512 Nsim=1024,150,-0.4,1.0,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
C,Box=512 Nsim=1024,256,-0.1,0.3,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
D,Box=1024 Nsim=1024,67,-1.7,5.0,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Volume test"
D,Box=1024 Nsim=1024,150,-0.2,1.1,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=150 Mpc/h"
D,Box=1024 Nsim=1024,256,0.0,0.4,Odderskov et al. 2015 (arXiv:1407.7364) Table 2,"Same row; rmax=256 Mpc/h"
