observer_scheme,tracer_halo_mass_range,reference_frame,rmax_mpc_h,mu_percent,sigma_percent,reference,notes
random_in_space,log10Mhalo>13,CMB,50,0.7,3.3,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Observers drawn uniformly in space; Hloc estimated using haloes with log10Mhalo>13"
random_in_space,log10Mhalo>13,CMB,75,0.3,2.1,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
random_in_space,log10Mhalo>13,CMB,150,0.0,0.9,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
random_in_haloes,log10Mhalo>13,CMB,50,-1.7,4.0,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Observers placed in random DM haloes (overdense environments bias low)"
random_in_haloes,log10Mhalo>13,CMB,75,-0.8,2.4,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
random_in_haloes,log10Mhalo>13,CMB,150,-0.2,0.9,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
void_centres,log10Mhalo>13,CMB,50,2.5,2.5,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Observers placed at centres of voids (underdense environments bias high)"
void_centres,log10Mhalo>13,CMB,75,1.0,1.8,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
void_centres,log10Mhalo>13,CMB,150,0.1,0.9,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
random_in_haloes,"log10Mhalo in (12,13)",CMB,50,-0.6,3.3,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Local-Group-like haloes (mass 10^12-10^13 h^-1 Msun)"
random_in_haloes,"log10Mhalo in (12,13)",CMB,75,-0.3,2.1,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
random_in_haloes,"log10Mhalo in (12,13)",CMB,150,0.0,0.9,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
random_in_space,no_haloes_linear_model,linear,50,0.0,3.5,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Linear perturbation theory baseline (volume-weighted)"
random_in_space,no_haloes_linear_model,linear,75,0.0,2.2,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
random_in_space,no_haloes_linear_model,linear,150,0.0,0.9,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
random_in_haloes,log10Mhalo>13,halo_rest_frame,50,-3.9,4.7,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same observer selection as random_in_haloes, but measuring in halo rest frame instead of CMB"
random_in_haloes,log10Mhalo>13,halo_rest_frame,75,-1.9,2.7,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=75 Mpc/h"
random_in_haloes,log10Mhalo>13,halo_rest_frame,150,-0.4,1.0,Wojtak et al. 2014 (MNRAS 438 1805; arXiv:1312.0276) Table 1,"Same row; rmax=150 Mpc/h"
