env_id,env_name,category,measurement_type,z_cmb,z_cmb_err,D_mpc,D_mpc_err,H0,H0_err,reference,notes,delta_proxy,delta_proxy_kind,delta_proxy_smoothing_mpc_h,delta_proxy_source
coma_scolnic2025_czD,Coma cluster (cz/D from distance ladder),cluster,cz_over_D,0.02445,0.00024,98.5,2.2,74.4155,1.8155,Scolnic et al. 2025 ApJL 979 L9,"Computed H0=cz/D using c=299792.458 km/s; z_cmb is median Coma group z in the paper",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_scolnic2025_desiFP,Coma cluster (DESI FP calibrated by Coma distance),cluster,reported_H0,,,,,76.5,2.2,Scolnic et al. 2025 ApJL 979 L9,"H0 from DESI FP relation when using D_Coma=98.5±2.2 Mpc",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_tully2000_tfI,Coma cluster (I-band Tully–Fisher distance),cluster,cz_over_D,0.02445,0.00024,86.3,6.0,84.9354,5.9637,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Tully & Pierce (2000); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_jensen1999_sbfKp,Coma cluster (K' SBF distance),cluster,cz_over_D,0.02445,0.00024,85.0,10.0,86.2344,10.1805,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Jensen et al. (1999); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_thomsen1997_sbfI,Coma cluster (I-band SBF distance),cluster,cz_over_D,0.02445,0.00024,102.0,14.0,71.8620,9.8886,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Thomsen et al. (1997); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_gregg1997_dnsigma,Coma cluster (Dn-σ distance),cluster,cz_over_D,0.02445,0.00024,96.0,6.0,76.3534,4.8306,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Gregg (1997); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_hjorth1997_fp,Coma cluster (FP distance),cluster,cz_over_D,0.02445,0.00024,108.0,12.0,67.8697,7.5704,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Hjorth & Tanvir (1997); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_kavelaars2000_gclf,Coma cluster (GCLF distance),cluster,cz_over_D,0.02445,0.00024,102.0,6.0,71.8620,4.2856,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value compiled from Kavelaars et al. (2000); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_literature_mean_2008,Coma cluster (literature mean distance),cluster,cz_over_D,0.02445,0.00024,95.0,3.1,77.1571,2.6292,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Mean distance (Carter et al. 2008 compilation); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_jensen2021_sbfNIR,Coma cluster (HST NIR SBF J21),cluster,cz_over_D,0.02445,0.00024,99.1,5.8,73.9649,4.3894,Scolnic et al. 2025 ApJL 979 L9 (Table 2),"Distance value from Jensen et al. (2021); H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
coma_combo_independent,Coma cluster (combination of independent distances),cluster,cz_over_D,0.02445,0.00024,98.0,2.0,74.7952,1.6938,Scolnic et al. 2025 ApJL 979 L9 (Section 4.3),"Independent combo distance; H0 computed as cz/D",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
laniakea_giani2024_snia,Laniakea supercluster correction (Pantheon+ SNe Ia),supercluster,delta_H0_shift,,,,,,0.5,,Giani et al. 2024 JCAP 2024(1)071 (arXiv:2311.00215),"Reported shift in inferred H0 after applying Laniakea effective-model distance corrections (sign depends on their convention; paper notes 'worsening' tension)",,,,
laniakea_giani2024_sbf,Laniakea supercluster correction (MASSIVE SBF),supercluster,delta_H0_shift,,,,,,1.1,,Giani et al. 2024 JCAP 2024(1)071 (arXiv:2311.00215),"Reported shift in inferred H0 after applying Laniakea effective-model distance corrections",,,,
gavas2025_overdense_correlation,Peculiar-velocity bias vs overdensity (N-body),simulation,qualitative_result,,,,,,,,Gavas et al. 2024/2025 arXiv:2407.10139,"Finds negative correlation between local overdensity (within 10 Mpc/h) and δ_H; >5% deviations frequent at 25-40 Mpc/h; overdense environments (near clusters) tend to measure lower H0",,,,
shapley_lopes2024_bulkflow,Pantheon+ bulk-flow dipole (toward Shapley),supercluster,reported_H0,,,,,,70.39,1.40,Lopes et al. 2024 (arXiv:2405.11077),"Directional analysis of Pantheon+ (0.015≤z≤0.06). Reports an H0 dipole toward (l,b)≈(326.1°,27.8°) near Shapley and bulk-flow speed 132±109 km/s at effective distance 102.8±10.2 Mpc; H0 quoted using first-order Hubble law.",,,,
pantheon_sorrenti2024_local_infall,Pantheon+ cosmography: local infall from overdensity (R~120 h^-1 Mpc),supercluster,qualitative_result,,,,,,,,Sorrenti et al. 2024 (arXiv:2407.07002),"Model-independent cosmography on Pantheon+ finds a significant infall attributed to an overdensity out to R≈120 h^-1 Mpc (local structure effect).",,,,
coma_benisty2025_hubbleflow,Coma cluster (CF4 Hubble-flow method),cluster,reported_H0,,,,,,73.10,0.92,Benisty et al. 2025 (arXiv:2504.04135),"Uses SDSS redshifts + CF4 distances with an infall model to estimate H0 around Coma; authors report H0=73.10±0.92 and note it varies (≈72–80) with calibration choices.",0.4322764151332613,delta_g_star_2mpp,20,twompp_targets_delta_sigma_20p000_mpch.csv
