shell_id,rmin_mpc_h,rmax_mpc_h,notes
shell_0_50,0,50,"Very local sphere (includes origin); mainly for reference"
shell_0_100,0,100,"Local sphere; reference"
shell_0_67,0,67,"Match Odderskov+2015 rmax=67 (sphere; includes origin)"
shell_0_75,0,75,"Match Wojtak+2014 rmax=75 (sphere; includes origin)"
shell_0_150,0,150,"Match common rmax=150 (sphere; includes origin)"
shell_0_200,0,200,"Maximal sphere fully inside 2M++ cube"
shell_30_80,30,80,"Mimics 'exclude very local flow' style lower cut; medium scales"
shell_30_67,30,67,"Match Odderskov+2015 style lower cut rmin=30, rmax=67"
shell_30_75,30,75,"Match Wojtak+2014 rmax=75 with a conservative lower cut rmin=30"
shell_30_150,30,150,"Intermediate scales"
shell_40_150,40,150,"KBC-like lower cut (rough); rmax=150"
shell_30_200,30,200,"Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)"
shell_40_200,40,200,"KBC-like lower cut (rough); bounded by 2M++ extent"
shell_60_200,60,200,"More conservative lower cut"
shell_80_200,80,200,"High-rmin shell; reduces local bulk-flow influence"
shell_120_200,120,200,"Very high-rmin shell; close to 'convergence' regime"
