shell_id,rmin_mpc_h,rmax_mpc_h,smoothing_gaussian_mpc_h,delta_g_star_mean,delta_g_star_std,n_cells,origin_delta_g_star,reference,notes
shell_0_50,0.0,50.0,4.0,0.10272826846067842,1.1538484370367403,137059,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very local sphere (includes origin); mainly for reference
shell_0_100,0.0,100.0,4.0,0.06442056335362091,0.9230141800529235,1097911,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Local sphere; reference
shell_0_67,0.0,67.0,4.0,0.0905181766977154,1.0722751106845647,330373,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Odderskov+2015 rmax=67 (sphere; includes origin)
shell_0_75,0.0,75.0,4.0,0.07208741404971684,1.024153979389056,462751,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 (sphere; includes origin)
shell_0_150,0.0,150.0,4.0,0.015126792703320234,0.80192188079545,3705063,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match common rmax=150 (sphere; includes origin)
shell_0_200,0.0,200.0,4.0,0.006018537303009563,0.7019870548969942,8782779,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Maximal sphere fully inside 2M++ cube
shell_30_80,30.0,80.0,4.0,0.06592622967693194,0.9864795675960711,533244,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Mimics 'exclude very local flow' style lower cut; medium scales
shell_30_67,30.0,67.0,4.0,0.08530150104621036,1.0706265255577425,300950,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Match Odderskov+2015 style lower cut rmin=30, rmax=67"
shell_30_75,30.0,75.0,4.0,0.06721293820990841,1.019522651776192,433328,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 with a conservative lower cut rmin=30
shell_30_150,30.0,150.0,4.0,0.014096169674789815,0.7991399687598939,3675640,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Intermediate scales
shell_40_150,40.0,150.0,4.0,0.0147048090366981,0.7961271044784013,3634744,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); rmax=150
shell_30_200,30.0,200.0,4.0,0.005555150297245047,0.700287380109689,8753356,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)
shell_40_200,40.0,200.0,4.0,0.005768976787168196,0.6983592357089738,8712460,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); bounded by 2M++ extent
shell_60_200,60.0,200.0,4.0,0.0027998676093413766,0.6859650921817011,8545650,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),More conservative lower cut
shell_80_200,80.0,200.0,4.0,0.00163883919920383,0.677373618627071,8220112,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),High-rmin shell; reduces local bulk-flow influence
shell_120_200,120.0,200.0,4.0,-0.003779233392065098,0.6391241771414284,6885106,0.2918596514282739,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very high-rmin shell; close to 'convergence' regime
shell_0_50,0.0,50.0,20.0,0.0906090585201576,0.1949587547805336,137059,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very local sphere (includes origin); mainly for reference
shell_0_100,0.0,100.0,20.0,0.053255700396309925,0.18230519097875342,1097911,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Local sphere; reference
shell_0_67,0.0,67.0,20.0,0.07958073424863726,0.19565902505346305,330373,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Odderskov+2015 rmax=67 (sphere; includes origin)
shell_0_75,0.0,75.0,20.0,0.07362127880502468,0.1904091383756036,462751,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 (sphere; includes origin)
shell_0_150,0.0,150.0,20.0,0.020426418842031464,0.17797617491125778,3705063,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match common rmax=150 (sphere; includes origin)
shell_0_200,0.0,200.0,20.0,0.010587393092219228,0.14772859979550051,8782779,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Maximal sphere fully inside 2M++ cube
shell_30_80,30.0,80.0,20.0,0.06791631114462422,0.1889814276064458,533244,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Mimics 'exclude very local flow' style lower cut; medium scales
shell_30_67,30.0,67.0,20.0,0.07733642810035106,0.19949899310754085,300950,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),"Match Odderskov+2015 style lower cut rmin=30, rmax=67"
shell_30_75,30.0,75.0,20.0,0.07165794158046467,0.19274469254407622,433328,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 with a conservative lower cut rmin=30
shell_30_150,30.0,150.0,20.0,0.019769139740287198,0.1780367945902545,3675640,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Intermediate scales
shell_40_150,40.0,150.0,20.0,0.01896073366316294,0.17765073602598533,3634744,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); rmax=150
shell_30_200,30.0,200.0,20.0,0.010278321347373935,0.147627963689673,8753356,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Approximate 'local H0' shell used in mock surveys (bounded by 2M++ extent)
shell_40_200,40.0,200.0,20.0,0.009896513494323533,0.14725334091187808,8712460,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),KBC-like lower cut (rough); bounded by 2M++ extent
shell_60_200,60.0,200.0,20.0,0.008536879357161532,0.1455336183029647,8545650,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),More conservative lower cut
shell_80_200,80.0,200.0,20.0,0.006539307544223207,0.14374118783666626,8220112,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),High-rmin shell; reduces local bulk-flow influence
shell_120_200,120.0,200.0,20.0,0.003685580460952916,0.13539112837157932,6885106,0.1197564886869981,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very high-rmin shell; close to 'convergence' regime
shell_0_50,0.0,50.0,50.0,0.048569624903331186,0.022463560967241974,137059,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Very local sphere (includes origin); mainly for reference
shell_0_100,0.0,100.0,50.0,0.032535946763979966,0.03706445431677766,1097911,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Local sphere; reference
shell_0_67,0.0,67.0,50.0,0.04350769888593727,0.02909305949451228,330373,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Odderskov+2015 rmax=67 (sphere; includes origin)
shell_0_75,0.0,75.0,50.0,0.040917515355052045,0.031668602360212926,462751,0.055913171811285516,Carrick et al. 2015 (2M++ density field; https://cosmicflows.iap.fr/download/),Match Wojtak+2014 rmax=75 (sphere; includes origin)
